LeafNumber,CommonName,ScientificName,AreaPixels,PerimeterPixels,MajorAxisPixels,MinorAxisPixels,Eccentricity,Solidity,Extent,MeanGrayIntensity,MeanHue,MeanSaturation,MeanValue
1,Mexican sunflower,Tithonia diversifolia,148661,3430.286,521.038021170855,402.741517677009,0.634454829655457,0.862497896856017,0.770248285009637,180.524522235152,0.173509281165559,0.0799553845725726,0.729982216415265
2,Kale / cabbage-type mustard,Brassica oleracea,171378,1920.994,488.684566137678,470.40402836133,0.270953786082849,0.944106564421234,0.778552088822664,151.770326412958,0.254328253970424,0.15005066897333,0.630028175305178
3,Butterfly bush / Buddleja,Buddleja sp.,147294,4496.246,567.983251384562,383.358635842808,0.737866140960304,0.674988658078885,0.588216031436695,126.056146210979,0.207373431470083,0.212689615144311,0.54649934491428
4,Grewia / raisin bush,Grewia sp.,118608,3179.675,538.175219263613,337.900155622793,0.778324102193738,0.809031069881655,0.54778729182254,127.470651220828,0.186357860362571,0.26062078960931,0.54078291845539
5,Common bean,Phaseolus vulgaris,132329,2343.457,471.107024423999,392.627258332861,0.55264894970335,0.844565141081036,0.70591279113188,131.346877857461,0.29461413574718,0.229051447197606,0.565240230862501
6,Coffee,Coffea arabica or Coffea canephora,123025,2517.378,539.019820611956,377.331296162658,0.714111160367496,0.709711846318036,0.483798025875968,129.950319040845,0.165636842523127,0.395750737192576,0.57457825804575
7,Jackfruit,Artocarpus heterophyllus,93811,1686.05,416.14628018578,291.01521492517,0.714818619824675,0.921912006053638,0.684511995797093,128.532773342145,0.403384223224934,0.313842448671116,0.560026678588844
8,Guava,Psidium guajava,181228,3684.724,639.512256150042,457.273865477216,0.699088304975086,0.795393399956989,0.668244837758112,146.999729622354,0.186172595193717,0.198767640185263,0.634428974096976
9,Avocado,Persea americana,478131,2749.269,920.166280213834,692.839593154907,0.658077241063446,0.999855708908406,0.999855708908406,162.662991941539,0.271696728972818,0.125477313624212,0.664325992207976
10,Siamese cassia,Senna siamea,152064,4064.497,778.85290848584,287.540364197921,0.929356153135808,0.740500504010168,0.643771591140012,99.5273963594276,0.415347404332031,0.439657136607855,0.458465604781475
11,Sweet potato,Ipomoea batatas,64169,1079.558,299.137177049454,278.307205436921,0.366630869273564,0.922578140725192,0.593223629472127,111.215477878726,0.450358486171388,0.39432611300752,0.498614045814655
12,Maize / corn,Zea mays,21143,1334.749,600.457985723494,105.322686549195,0.984496553394823,0.438769792682674,0.242565738148777,120.844771319113,0.298988096647539,0.300655298680711,0.520852495564748
13,Papaya,Carica papaya,102711,2878.468,400.267222893732,357.604502867341,0.449233458861015,0.764913090752022,0.54215360253365,110.503188558188,0.359931573624044,0.458860224998976,0.50867461548785
14,Eggplant / aubergine,Solanum melongena,98963,1799.064,449.207203252277,292.92100983404,0.758146380735054,0.882928134897622,0.587648822778421,105.851004921031,0.448118262831833,0.456798417754017,0.485599827069455
15,Cotton,Gossypium hirsutum,137779,1689.434,447.718718460007,413.522180891353,0.38330822525355,0.89139844078543,0.584735979900351,147.986246089752,0.299414580341804,0.341083162217309,0.65205047754083
16,Mulberry,Morus alba,108426,2637.578,439.452796476476,395.071144460094,0.437934237675908,0.724903558797377,0.492567825407498,107.469748953203,0.401515987132602,0.434803328635315,0.493246898670929
17,Citrus (lemon or orange),Citrus sp.,106296,3936.934,526.977809818637,318.486576709232,0.796708095415906,0.672231919253244,0.47394328517924,148.67952698126,0.198120933334875,0.400382496903622,0.64309069605113
18,Hibiscus,Hibiscus rosa-sinensis,69341,1258.11,332.558074453563,283.811532163148,0.521224736646471,0.830490813711165,0.499251205990352,112.823250313667,0.356894329602064,0.363143062264649,0.509731192054282
19,Chamber bitter / stonebreaker,Phyllanthus amarus,29145,1226.318,270.67988089817,161.939760919011,0.801294282488252,0.700281121603114,0.478477147360126,102.598318751072,0.352057418753563,0.332347939805602,0.45077506315617
20,Lantana,Lantana camara,49122,1073.368,266.806869252038,246.07324385291,0.386499153335251,0.864991459613658,0.559986320109439,110.703249053377,0.38729485734091,0.350856983640748,0.493162282624034
